player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
Theo Ratliff,N,N,Y,N,N,517.00,2176.00,16.80,6321.00,428.00,4906.00,1.10,53.00
Theron Smith,N,N,N,N,N,35.00,9.00,-10.10,149.00,11.00,157.00,-0.30,0.00
Thomas Gardner,N,N,N,N,N,2.00,1.00,-9.70,24.00,4.00,7.00,-0.20,0.00
Thomas Jordan,N,N,N,N,N,3.00,5.00,-9.50,44.00,3.00,19.00,-0.20,0.00
Thomas Robinson,N,N,N,N,N,214.00,139.00,-25.30,1735.00,192.00,1732.00,-0.30,4.00
Thon Maker,N,N,N,N,N,23.00,26.00,-1.50,226.00,10.00,114.00,0.10,1.00
Thurl Bailey,N,N,N,N,N,1091.00,967.00,-19.40,10154.00,367.00,4074.00,0.20,38.00
Tiago Splitter,N,N,N,N,N,423.00,209.00,4.10,2816.00,198.00,1779.00,1.00,25.00
Tibor Pleiss,N,N,N,N,N,2.00,2.00,-8.10,24.00,1.00,15.00,-0.10,0.00
Tierre Brown,N,N,N,N,N,225.00,4.00,-11.40,456.00,51.00,135.00,-0.80,0.00
Tim Bassett,N,N,N,N,N,109.00,53.00,-3.00,687.00,95.00,641.00,-0.60,2.00
Tim Breaux,N,N,N,N,N,24.00,8.00,-7.00,161.00,11.00,60.00,-0.70,0.00
Tim Duncan,N,Y,Y,Y,Y,4225.00,3020.00,100.30,26496.00,1025.00,15091.00,4.70,206.00
Tim Frazier,N,N,N,N,N,659.00,10.00,-8.30,986.00,122.00,393.00,0.00,4.00
Tim Hardaway,N,N,Y,N,N,8287.00,190.00,22.90,19830.00,1710.00,3667.00,2.10,102.00
Tim James,N,N,N,N,N,8.00,5.00,-6.80,45.00,2.00,35.00,-0.20,0.00
Tim Kempton,N,N,N,N,N,308.00,46.00,-44.50,1263.00,122.00,798.00,-0.10,3.00
Tim Legler,N,N,N,N,N,328.00,30.00,-9.50,1754.00,117.00,371.00,0.40,12.00
Tim McCormick,N,N,N,N,N,600.00,210.00,-21.60,4829.00,169.00,2799.00,0.20,25.00
Tim Perry,N,N,N,N,N,436.00,414.00,-10.20,3283.00,221.00,1911.00,0.40,15.00
Tim Quarterman,N,N,N,N,N,11.00,3.00,-4.80,31.00,2.00,14.00,-0.10,0.00
Tim Thomas,N,N,N,N,N,1414.00,300.00,-25.20,10443.00,670.00,3722.00,0.40,41.00
Tim Young,N,N,N,N,N,5.00,1.00,-7.90,54.00,2.00,35.00,-0.20,0.00
Timofey Mozgov,N,N,N,N,N,284.00,431.00,-14.60,3454.00,160.00,2443.00,0.20,21.00
Timothe Luwawu-Cabarrot,N,N,N,N,N,75.00,10.00,-4.00,445.00,32.00,149.00,-0.60,1.00
Tiny Archibald,Y,N,Y,N,N,3584.00,71.00,-4.20,8838.00,580.00,1086.00,1.00,41.00
Tito Horford,N,N,N,N,N,5.00,23.00,-21.60,93.00,6.00,81.00,-0.40,-1.00
Tobias Harris,N,N,N,N,N,846.00,274.00,-5.30,7024.00,377.00,2965.00,0.80,35.00
Toby Bailey,N,N,N,N,N,43.00,6.00,-8.20,241.00,22.00,126.00,-0.20,1.00
Toby Kimball,N,N,N,N,N,73.00,23.00,-1.80,559.00,49.00,552.00,0.10,3.00
Toby Knight,N,N,N,N,N,312.00,174.00,-3.00,3419.00,228.00,1362.00,0.90,15.00
Tod Murphy,N,N,N,N,N,177.00,88.00,-7.30,1029.00,110.00,929.00,0.30,8.00
Todd Day,N,N,N,N,N,572.00,228.00,-15.80,4577.00,421.00,1321.00,0.20,13.00
Todd Fuller,N,N,N,N,N,45.00,58.00,-29.00,807.00,31.00,656.00,-0.80,2.00
Todd Lichti,N,N,N,N,N,314.00,44.00,-10.50,1812.00,172.00,483.00,-0.20,5.00
Todd MacCulloch,N,N,N,N,N,121.00,177.00,-1.60,1369.00,61.00,888.00,0.50,12.00
Todd Mitchell,N,N,N,N,N,41.00,4.00,-10.00,241.00,31.00,97.00,-0.30,0.00
Todd Mundt,N,N,N,N,N,5.00,9.00,-14.30,68.00,3.00,53.00,-0.20,0.00
Tom Abernethy,N,N,N,N,N,402.00,63.00,-6.00,1838.00,191.00,1051.00,0.40,14.00
Tom Barker,N,N,N,N,N,84.00,59.00,-14.20,741.00,49.00,603.00,-0.40,2.00
Tom Boerwinkle,N,N,N,N,N,882.00,138.00,11.90,1501.00,110.00,1756.00,1.50,14.00
Tom Boswell,N,N,N,N,N,736.00,148.00,-6.40,3651.00,162.00,2087.00,0.60,18.00
