player,hof_flag,final_mvp,all_stargame,championship_ring,league_mvp,assist,blocks,box_plus_minus,points,steals,total_rebounds,value_of_replacement,win_shares
A.C. Green,N,N,Y,Y,N,1469.00,562.00,-1.50,12928.00,1103.00,10129.00,1.30,104.00
A.J. English,N,N,N,N,N,320.00,24.00,-10.20,1502.00,57.00,315.00,-1.20,1.00
A.J. Guyton,N,N,N,N,N,145.00,12.00,-10.60,442.00,19.00,80.00,-0.50,0.00
A.J. Price,N,N,N,N,N,316.00,4.00,-5.20,764.00,62.00,186.00,-0.10,3.00
Aaron Brooks,N,N,N,N,N,2309.00,99.00,-28.60,7266.00,430.00,1240.00,0.00,21.00
Aaron Gordon,N,N,N,N,N,311.00,117.00,-1.70,1981.00,144.00,1081.00,0.80,10.00
Aaron Gray,N,N,N,N,N,143.00,53.00,-3.50,570.00,49.00,660.00,0.10,4.00
Aaron James,N,N,N,N,N,370.00,69.00,-15.40,3829.00,158.00,1470.00,-0.30,13.00
Aaron McKie,N,N,N,N,N,2438.00,199.00,4.20,6607.00,1081.00,3001.00,0.90,45.00
Aaron Williams,N,N,N,N,N,444.00,470.00,-24.00,3700.00,242.00,2467.00,0.30,27.00
Abdul Jeelani,N,N,N,N,N,160.00,71.00,-2.20,1290.00,84.00,500.00,0.30,5.00
Acie Earl,N,N,N,N,N,61.00,126.00,-35.30,980.00,63.00,517.00,-0.60,0.00
Acie Law,N,N,N,N,N,112.00,4.00,-8.20,275.00,22.00,75.00,-0.30,1.00
Adam Harrington,N,N,N,N,N,2.00,1.00,-12.60,11.00,1.00,2.00,-0.10,0.00
Adam Keefe,N,N,N,N,N,427.00,173.00,-7.30,3107.00,307.00,2556.00,0.50,25.00
Adam Morrison,N,N,N,N,N,201.00,10.00,-10.80,1116.00,37.00,302.00,-1.30,-1.00
Adonal Foyle,N,N,N,N,N,308.00,1094.00,-8.30,2679.00,242.00,3060.00,0.40,16.00
Adreian Payne,N,N,N,N,N,89.00,29.00,-17.70,553.00,53.00,431.00,-0.60,-2.00
Adrian Branch,N,N,N,N,N,92.00,17.00,-7.10,769.00,77.00,233.00,-0.10,2.00
Adrian Caldwell,N,N,N,N,N,45.00,49.00,-31.70,486.00,71.00,653.00,-0.30,1.00
Adrian Dantley,Y,N,Y,N,N,3140.00,187.00,44.40,25541.00,1080.00,6239.00,2.90,150.00
Adrian Griffin,N,N,N,N,N,616.00,55.00,5.00,1843.00,412.00,1434.00,0.90,16.00
Al Carlson,N,N,N,N,N,13.00,11.00,-5.30,72.00,7.00,73.00,-0.20,0.00
Al Eberhard,N,N,N,N,N,76.00,19.00,-5.40,654.00,58.00,323.00,-0.10,3.00
Al Harrington,N,N,N,N,N,1852.00,291.00,-24.50,15653.00,986.00,6298.00,0.40,51.00
Al Horford,N,N,Y,N,N,1926.00,784.00,29.50,9240.00,534.00,5608.00,2.70,71.00
Al Jefferson,N,N,N,N,N,1317.00,1070.00,-2.20,14091.00,612.00,7547.00,1.10,69.00
Al Skinner,N,N,N,N,N,670.00,96.00,-8.00,2488.00,273.00,897.00,0.30,8.00
Al Thornton,N,N,N,N,N,476.00,186.00,-28.00,4599.00,245.00,1638.00,-0.60,9.00
Al Wood,N,N,N,N,N,789.00,167.00,-16.30,5264.00,332.00,1352.00,0.00,16.00
Al-Farouq Aminu,N,N,N,N,N,639.00,307.00,-2.70,3766.00,494.00,2948.00,0.70,18.00
Alaa Abdelnaby,N,N,N,N,N,125.00,107.00,-43.00,2297.00,111.00,1289.00,-0.40,7.00
Alan Anderson,N,N,N,N,N,222.00,23.00,-9.80,1479.00,120.00,483.00,0.00,5.00
Alan Hardy,N,N,N,N,N,23.00,13.00,-16.90,193.00,10.00,53.00,-0.30,0.00
Alan Henderson,N,N,N,N,N,372.00,289.00,-17.10,4871.00,342.00,3112.00,0.10,27.00
Alan Ogg,N,N,N,N,N,9.00,55.00,-7.70,162.00,11.00,123.00,-0.10,1.00
Alan Williams,N,N,N,N,N,28.00,37.00,-0.20,375.00,31.00,330.00,0.10,2.00
Alando Tucker,N,N,N,N,N,12.00,1.00,-5.80,138.00,5.00,31.00,-0.30,0.00
Albert King,N,N,N,N,N,906.00,165.00,-8.30,5065.00,364.00,1745.00,0.40,14.00
Alec Burks,N,N,N,N,N,534.00,46.00,-14.70,3034.00,184.00,877.00,0.00,10.00
Alec Kessler,N,N,N,N,N,79.00,70.00,-17.50,1051.00,38.00,741.00,-1.00,2.00
Aleksandar Radojevic,N,N,N,N,N,1.00,1.00,-11.50,7.00,2.00,8.00,-0.10,0.00
Alex Abrines,N,N,N,N,N,40.00,8.00,-2.50,406.00,37.00,86.00,-0.10,2.00
Alex Bradley,N,N,N,N,N,11.00,5.00,-3.90,137.00,12.00,65.00,-0.20,0.00
Alex English,Y,N,Y,N,N,4575.00,895.00,20.00,26931.00,1140.00,7143.00,2.20,106.00
Alex Garcia,N,N,N,N,N,18.00,1.00,-4.50,44.00,4.00,15.00,-0.10,0.00
Alex Len,N,N,N,N,N,177.00,283.00,-12.30,1834.00,113.00,1657.00,-0.20,8.00
Alexander Johnson,N,N,N,N,N,30.00,45.00,-9.10,439.00,38.00,275.00,-0.40,2.00
Alexander Volkov,N,N,N,N,N,333.00,52.00,0.50,1019.00,102.00,384.00,0.80,4.00
Alexey Shved,N,N,N,N,N,517.00,54.00,-2.60,1585.00,125.00,428.00,0.20,4.00
Alexis Ajinca,N,N,N,N,N,151.00,194.00,-25.60,1657.00,109.00,1207.00,-0.10,8.00
Alfredrick Hughes,N,N,N,N,N,61.00,5.00,-6.50,356.00,26.00,113.00,-1.00,-1.00
Allan Bristow,N,N,N,N,N,2098.00,40.00,-5.20,5122.00,490.00,2613.00,0.70,23.00
Allan Houston,N,N,Y,N,N,1990.00,139.00,-13.40,14551.00,566.00,2434.00,0.80,55.00
Allan Ray,N,N,N,N,N,43.00,3.00,-3.50,290.00,20.00,69.00,-0.30,1.00
Allen Crabbe,N,N,N,N,N,237.00,52.00,-6.80,1878.00,138.00,523.00,0.40,10.00
Allen Iverson,Y,N,Y,N,Y,6457.00,184.00,29.50,27364.00,2209.00,3827.00,2.60,108.00
Allen Leavell,N,N,N,N,N,3339.00,120.00,-19.20,6684.00,929.00,1164.00,0.40,30.00
Alonzo Bradley,N,N,N,N,N,71.00,7.00,-10.30,399.00,21.00,145.00,-0.40,0.00
Alonzo Gee,N,N,N,N,N,453.00,106.00,-13.70,2863.00,400.00,1397.00,0.20,10.00
Alonzo Mourning,Y,N,Y,N,N,939.00,2210.00,8.60,13783.00,405.00,6892.00,1.60,87.00
Alton Ford,N,N,N,N,N,7.00,7.00,-6.40,164.00,6.00,107.00,-0.50,1.00
Alton Lister,N,N,N,N,N,811.00,1362.00,-21.10,5742.00,314.00,5581.00,0.50,34.00
Alvan Adams,N,N,Y,N,N,4012.00,808.00,45.00,13910.00,1289.00,6937.00,3.00,73.00
Alvin Jones,N,N,N,N,N,3.00,9.00,-4.50,26.00,3.00,36.00,-0.10,0.00
Alvin Robertson,N,N,Y,N,N,4192.00,341.00,43.30,11500.00,2267.00,4335.00,3.30,56.00
Alvin Scott,N,N,N,N,N,662.00,300.00,-3.00,2267.00,304.00,1411.00,0.60,16.00
Alvin Williams,N,N,N,N,N,1957.00,111.00,-13.50,4441.00,577.00,1196.00,0.40,23.00
Amal McCaskill,N,N,N,N,N,27.00,25.00,-12.10,141.00,15.00,155.00,-0.30,0.00
Amar'e Stoudemire,N,N,Y,N,N,1087.00,1088.00,-6.60,16426.00,656.00,6877.00,1.10,95.00
Amir Johnson,N,N,N,N,N,892.00,780.00,28.20,5539.00,464.00,4210.00,1.70,50.00
Anderson Varejao,N,N,N,N,N,689.00,392.00,16.30,4405.00,518.00,4343.00,1.20,45.00
Andrae Patterson,N,N,N,N,N,15.00,7.00,-0.50,114.00,19.00,65.00,0.10,1.00
Andray Blatche,N,N,N,N,N,798.00,458.00,-10.40,5706.00,492.00,3024.00,0.60,19.00
Andre Barrett,N,N,N,N,N,69.00,1.00,-3.50,118.00,19.00,40.00,-0.20,0.00
Andre Brown,N,N,N,N,N,8.00,4.00,-5.10,100.00,7.00,92.00,-0.20,0.00
Andre Drummond,N,N,Y,N,N,276.00,580.00,4.10,5120.00,476.00,4946.00,1.50,36.00
Andre Iguodala,N,Y,Y,Y,N,4396.00,463.00,38.60,12683.00,1548.00,5133.00,3.30,89.00
Andre Miller,N,N,N,N,N,9446.00,250.00,6.40,17740.00,1687.00,5322.00,1.60,109.00
Andre Owens,N,N,N,N,N,47.00,3.00,-3.40,123.00,13.00,47.00,-0.10,0.00
Andre Roberson,N,N,N,N,N,132.00,81.00,1.40,640.00,125.00,600.00,0.70,6.00
Andre Spencer,N,N,N,N,N,19.00,5.00,-1.00,138.00,18.00,61.00,0.10,1.00
Andre Turner,N,N,N,N,N,177.00,2.00,-4.40,284.00,57.00,90.00,-0.50,0.00
Andre Wakefield,N,N,N,N,N,139.00,4.00,-14.60,344.00,38.00,152.00,-0.80,-2.00
Andrea Bargnani,N,N,N,N,N,653.00,470.00,-28.00,7873.00,207.00,2541.00,-0.10,19.00
Andrei Kirilenko,N,N,Y,N,N,2168.00,1461.00,56.70,9428.00,1096.00,4344.00,3.50,75.00
Andres Guibert,N,N,N,N,N,10.00,1.00,-5.60,45.00,8.00,45.00,-0.10,0.00
Andres Nocioni,N,N,N,N,N,614.00,228.00,-28.90,5415.00,215.00,2295.00,0.10,22.00
Andrew Bogut,N,N,N,N,N,1538.00,1071.00,25.70,6676.00,436.00,6097.00,1.80,50.00
Andrew Bynum,N,N,Y,N,N,517.00,685.00,0.10,5024.00,139.00,3347.00,1.00,38.00
Andrew DeClercq,N,N,N,N,N,361.00,325.00,-8.60,3118.00,431.00,2694.00,0.30,22.00
Andrew Harrison,N,N,N,N,N,198.00,20.00,-2.50,425.00,54.00,136.00,-0.20,2.00
Andrew Lang,N,N,N,N,N,413.00,1091.00,-23.20,4485.00,310.00,3375.00,0.20,26.00
Andrew Nicholson,N,N,N,N,N,133.00,101.00,-33.20,1770.00,85.00,891.00,-0.60,4.00
Andrew Toney,N,N,Y,N,N,1590.00,81.00,-12.70,6188.00,302.00,827.00,0.30,22.00
Andrew Wiggins,N,N,N,N,N,523.00,126.00,-7.10,4995.00,246.00,994.00,-0.30,10.00
Andris Biedrins,N,N,N,N,N,467.00,580.00,7.10,3244.00,331.00,3614.00,1.00,31.00
Anfernee Hardaway,N,N,Y,N,N,2879.00,242.00,20.90,8697.00,893.00,2339.00,2.30,56.00
Ansu Sesay,N,N,N,N,N,42.00,25.00,-7.60,294.00,33.00,165.00,-0.20,1.00
Antawn Jamison,N,N,Y,N,N,1523.00,402.00,-11.50,17549.00,915.00,7232.00,0.90,79.00
Anthony Avent,N,N,N,N,N,342.00,242.00,-35.30,2338.00,197.00,1910.00,-0.80,1.00
Anthony Bennett,N,N,N,N,N,77.00,27.00,-15.10,630.00,53.00,449.00,-0.50,0.00
Anthony Bonner,N,N,N,N,N,389.00,79.00,0.30,1936.00,304.00,1546.00,0.70,10.00
Anthony Bowie,N,N,N,N,N,681.00,85.00,-13.70,2518.00,241.00,882.00,0.10,10.00
Anthony Brown,N,N,N,N,N,19.00,5.00,-5.00,115.00,14.00,70.00,-0.50,0.00
Anthony Carter,N,N,N,N,N,1904.00,88.00,-30.10,2319.00,486.00,998.00,-0.20,8.00
Anthony Cook,N,N,N,N,N,34.00,98.00,-17.40,431.00,41.00,438.00,-0.30,1.00
Anthony Davis,N,N,Y,N,N,590.00,793.00,19.80,7497.00,436.00,3404.00,3.60,49.00
Anthony Frederick,N,N,N,N,N,91.00,32.00,-6.00,541.00,54.00,196.00,-0.20,1.00
Anthony Goldwire,N,N,N,N,N,715.00,11.00,-13.70,1525.00,152.00,315.00,-0.40,6.00
Anthony Johnson,N,N,N,N,N,2780.00,107.00,-60.90,5214.00,657.00,1616.00,-0.10,25.00
Anthony Jones,N,N,N,N,N,152.00,39.00,-7.50,673.00,83.00,219.00,-0.20,1.00
Anthony Mason,N,N,Y,N,N,2963.00,244.00,13.40,9646.00,647.00,7274.00,2.60,88.00
Anthony Miller,N,N,N,N,N,42.00,12.00,-3.90,259.00,27.00,219.00,0.00,2.00
Anthony Morrow,N,N,N,N,N,522.00,78.00,-25.90,5682.00,351.00,1270.00,0.10,25.00
Anthony Parker,N,N,N,N,N,999.00,74.00,3.70,4052.00,393.00,1409.00,1.50,23.00
Anthony Peeler,N,N,N,N,N,1948.00,131.00,-8.60,7651.00,775.00,2071.00,0.50,31.00
Anthony Pullard,N,N,N,N,N,2.00,2.00,-8.90,17.00,2.00,8.00,-0.10,0.00
Anthony Randolph,N,N,N,N,N,176.00,208.00,-19.30,1745.00,127.00,1021.00,-0.10,5.00
Anthony Roberson,N,N,N,N,N,20.00,1.00,-3.40,119.00,10.00,22.00,-0.10,0.00
Anthony Roberts,N,N,N,N,N,245.00,13.00,-20.70,1531.00,78.00,769.00,-0.50,4.00
Anthony Taylor,N,N,N,N,N,43.00,5.00,-3.80,144.00,22.00,34.00,-0.20,0.00
Anthony Tolliver,N,N,N,N,N,547.00,192.00,-10.00,3791.00,225.00,2121.00,0.40,21.00
Anthony Tucker,N,N,N,N,N,68.00,11.00,-2.90,243.00,46.00,170.00,-0.20,1.00
Antoine Carr,N,N,N,N,N,1122.00,918.00,-14.90,9498.00,362.00,3475.00,0.50,43.00
Antoine Walker,N,N,Y,N,N,3269.00,497.00,3.80,16120.00,1127.00,7165.00,1.70,35.00
Antoine Wright,N,N,N,N,N,362.00,89.00,-22.40,1910.00,164.00,803.00,-0.30,4.00
Antonio Daniels,N,N,N,N,N,3062.00,86.00,-19.70,6851.00,583.00,1663.00,0.30,48.00
Antonio Davis,N,N,Y,N,N,900.00,836.00,-14.80,8484.00,427.00,6490.00,0.60,58.00
Antonio Harvey,N,N,N,N,N,63.00,160.00,-34.20,698.00,78.00,594.00,-0.40,0.00
Antonio Lang,N,N,N,N,N,45.00,42.00,-5.40,287.00,47.00,180.00,-0.10,2.00
Antonio McDyess,N,N,Y,N,N,1126.00,1015.00,4.80,11199.00,700.00,6807.00,1.10,62.00
Antonis Fotsis,N,N,N,N,N,10.00,11.00,-4.90,108.00,9.00,62.00,-0.20,0.00
Archie Clark,N,N,Y,N,N,936.00,15.00,-1.80,2404.00,231.00,513.00,0.80,12.00
Archie Goodwin,N,N,N,N,N,182.00,33.00,-13.40,930.00,65.00,303.00,-0.40,1.00
Arinze Onuaku,N,N,N,N,N,4.00,3.00,2.30,27.00,1.00,21.00,0.10,0.00
Armen Gilliam,N,N,N,N,N,1174.00,626.00,-24.90,13846.00,763.00,6938.00,0.40,60.00
Armon Johnson,N,N,N,N,N,45.00,1.00,-6.80,110.00,5.00,36.00,-0.30,0.00
Armond Hill,N,N,N,N,N,2530.00,77.00,-34.90,3643.00,619.00,1098.00,-0.20,11.00
Aron Baynes,N,N,N,N,N,157.00,124.00,-11.30,1544.00,57.00,1212.00,0.10,12.00
Arron Afflalo,N,N,N,N,N,1485.00,140.00,-15.30,9054.00,378.00,2357.00,0.40,36.00
Art Collins,N,N,N,N,N,25.00,1.00,-6.30,94.00,11.00,41.00,-0.40,0.00
Art Long,N,N,N,N,N,53.00,50.00,-29.80,405.00,32.00,371.00,-0.20,1.00
Art Williams,N,N,N,N,N,163.00,3.00,0.60,173.00,44.00,115.00,0.40,1.00
Artis Gilmore,Y,N,Y,N,N,1648.00,1682.00,23.20,14910.00,446.00,8793.00,2.90,104.00
Arvydas Sabonis,Y,N,N,N,N,964.00,494.00,25.50,5629.00,370.00,3436.00,2.40,47.00
Ashraf Amaya,N,N,N,N,N,36.00,13.00,-12.00,379.00,29.00,355.00,-0.40,2.00
Audie Norris,N,N,N,N,N,100.00,36.00,-6.20,418.00,43.00,326.00,-0.10,1.00
Austin Carr,N,N,Y,N,N,1451.00,66.00,-10.60,7877.00,433.00,1471.00,0.50,26.00
Austin Croshere,N,N,N,N,N,524.00,191.00,-3.90,3934.00,221.00,2311.00,0.50,24.00
Austin Daye,N,N,N,N,N,217.00,125.00,-17.10,1555.00,117.00,783.00,-0.10,5.00
Austin Rivers,N,N,N,N,N,900.00,65.00,-22.00,3449.00,263.00,833.00,-0.40,7.00
Avery Bradley,N,N,N,N,N,690.00,87.00,-8.50,4956.00,437.00,1247.00,0.40,15.00
Avery Johnson,N,N,N,N,N,6037.00,158.00,-75.40,9292.00,1071.00,1827.00,-0.10,56.00
Awvee Storey,N,N,N,N,N,20.00,2.00,-10.30,135.00,10.00,76.00,-0.10,0.00
Axel Toupane,N,N,N,N,N,15.00,6.00,-2.80,76.00,7.00,31.00,-0.10,0.00
B.J. Armstrong,N,N,Y,N,N,2002.00,42.00,-18.40,6145.00,446.00,1061.00,0.30,38.00
B.J. Tyler,N,N,N,N,N,174.00,2.00,-7.20,195.00,36.00,62.00,-1.10,-1.00
Baron Davis,N,N,Y,N,N,6778.00,402.00,40.20,15092.00,1689.00,3514.00,2.20,70.00
Barry Clemens,N,N,N,N,N,33.00,7.00,-1.40,171.00,27.00,70.00,0.10,1.00
Bart Kofoed,N,N,N,N,N,74.00,3.00,-12.30,112.00,8.00,41.00,-0.20,0.00
Bayard Forrest,N,N,N,N,N,296.00,71.00,-1.60,569.00,52.00,565.00,0.30,3.00
Ben Clyde,N,N,N,N,N,5.00,3.00,-5.90,69.00,5.00,41.00,-0.20,0.00
Ben Coleman,N,N,N,N,N,151.00,122.00,-17.20,1762.00,107.00,1079.00,-0.20,6.00
Ben Gordon,N,N,N,N,N,1868.00,114.00,-23.50,11084.00,508.00,1851.00,0.40,33.00
Ben Handlogten,N,N,N,N,N,13.00,5.00,-3.10,95.00,7.00,65.00,-0.10,0.00
Ben Hansbrough,N,N,N,N,N,21.00,2.00,-4.40,57.00,7.00,18.00,-0.10,0.00
Ben McDonald,N,N,N,N,N,231.00,17.00,-8.70,1026.00,73.00,556.00,-0.30,2.00
Ben McLemore,N,N,N,N,N,352.00,53.00,-12.00,2742.00,203.00,754.00,-0.30,4.00
Ben Poquette,N,N,N,N,N,837.00,760.00,-6.80,4735.00,375.00,3630.00,0.80,29.00
Ben Uzoh,N,N,N,N,N,120.00,6.00,-2.60,158.00,33.00,130.00,0.10,0.00
Ben Wallace,N,N,Y,N,N,1542.00,2254.00,45.10,6602.00,1457.00,11086.00,2.80,97.00
Beno Udrih,N,N,N,N,N,3073.00,76.00,-39.00,7208.00,615.00,1810.00,0.10,32.00
Benoit Benjamin,N,N,N,N,N,1263.00,1845.00,-35.10,11123.00,637.00,7420.00,0.20,39.00
Bernard James,N,N,N,N,N,13.00,61.00,-3.30,203.00,17.00,212.00,0.00,2.00
Bernard King,Y,N,Y,N,N,2774.00,223.00,20.50,19120.00,846.00,4864.00,2.50,74.00
Bernard Robinson,N,N,N,N,N,143.00,17.00,-13.60,627.00,122.00,357.00,-0.10,2.00
Bernard Thompson,N,N,N,N,N,202.00,25.00,-9.90,825.00,93.00,248.00,-0.10,2.00
Bernard Toone,N,N,N,N,N,12.00,5.00,-6.00,55.00,4.00,34.00,-0.10,0.00
Bernie Fryer,N,N,N,N,N,279.00,10.00,-2.30,559.00,92.00,159.00,-0.10,2.00
Bill Bradley,Y,N,Y,N,N,864.00,65.00,-10.10,3400.00,209.00,841.00,-0.20,10.00
Bill Bridges,N,N,Y,N,N,206.00,41.00,-7.80,691.00,76.00,727.00,0.00,3.00
Bill Cartwright,N,N,Y,Y,N,1385.00,667.00,-15.50,12701.00,459.00,6096.00,0.80,73.00
Bill Chamberlain,N,N,N,N,N,37.00,12.00,-0.10,153.00,20.00,80.00,0.20,1.00
Bill Curley,N,N,N,N,N,32.00,31.00,-11.10,240.00,31.00,189.00,-0.10,1.00
Bill Edwards,N,N,N,N,N,4.00,1.00,-10.40,6.00,3.00,14.00,-0.10,0.00
Bill Garnett,N,N,N,N,N,393.00,173.00,-0.50,1638.00,159.00,1298.00,0.70,11.00
Bill Hanzlik,N,N,N,N,N,2058.00,205.00,-12.60,5414.00,727.00,2058.00,0.40,25.00
Bill Hewitt,N,N,N,N,N,24.00,10.00,-2.80,126.00,9.00,116.00,-0.10,1.00
Bill Jones,N,N,N,N,N,20.00,6.00,-1.30,129.00,17.00,47.00,0.10,1.00
Bill Laimbeer,N,N,Y,N,N,2270.00,1025.00,26.10,14400.00,743.00,10961.00,2.40,110.00
Bill Ligon,N,N,N,N,N,25.00,9.00,-7.10,126.00,8.00,26.00,-0.40,0.00
Bill Martin,N,N,N,N,N,52.00,7.00,-3.80,332.00,21.00,102.00,-0.30,1.00
Bill Robinzine,N,N,N,N,N,611.00,70.00,-11.00,5586.00,528.00,3203.00,0.30,20.00
Bill Walton,Y,Y,Y,N,Y,1590.00,1034.00,30.80,6215.00,380.00,4923.00,2.10,39.00
Bill Wennington,N,N,N,N,N,436.00,239.00,-45.80,3238.00,221.00,2109.00,-0.20,17.00
Bill Willoughby,N,N,N,N,N,413.00,292.00,-15.70,2930.00,209.00,1891.00,0.10,13.00
Billy Cunningham,Y,N,Y,N,N,549.00,45.00,5.10,1837.00,115.00,873.00,2.40,7.00
Billy Donovan,N,N,N,N,N,87.00,1.00,-7.40,105.00,16.00,25.00,-0.50,0.00
Billy Knight,N,N,Y,N,N,1667.00,101.00,-13.90,12079.00,706.00,3502.00,0.80,53.00
Billy McKinney,N,N,N,N,N,1594.00,48.00,-13.70,3699.00,364.00,717.00,-0.10,15.00
Billy Owens,N,N,N,N,N,1908.00,359.00,-2.50,7834.00,618.00,4427.00,1.00,32.00
Billy Paultz,N,N,N,N,N,1272.00,791.00,-11.80,6317.00,350.00,4210.00,0.70,31.00
Billy Ray,N,N,N,N,N,352.00,16.00,-4.90,2192.00,150.00,312.00,0.10,7.00
Billy Reid,N,N,N,N,N,71.00,5.00,-5.00,190.00,33.00,60.00,-0.50,-1.00
Billy Thomas,N,N,N,N,N,17.00,1.00,-3.20,92.00,14.00,36.00,-0.10,0.00
Billy Thompson,N,N,N,N,N,513.00,272.00,-1.20,2552.00,157.00,1606.00,0.90,10.00
Bimbo Coles,N,N,N,N,N,2778.00,115.00,-29.40,5500.00,626.00,1562.00,0.10,25.00
Bingo Smith,N,N,N,N,N,1146.00,184.00,-21.40,8225.00,493.00,2431.00,0.10,27.00
Bird Averitt,N,N,N,N,N,526.00,23.00,-26.40,1581.00,108.00,244.00,-1.00,-3.00
Bismack Biyombo,N,N,N,N,N,189.00,667.00,-12.30,2176.00,117.00,2945.00,0.00,18.00
Bison Dele,N,N,N,N,N,251.00,191.00,-1.10,2709.00,184.00,1537.00,0.70,13.00
Blair Rasmussen,N,N,N,N,N,462.00,474.00,-25.80,5048.00,205.00,2951.00,-0.40,19.00
Blake Griffin,N,N,Y,N,N,1954.00,269.00,28.50,10117.00,455.00,4423.00,3.70,62.00
Blue Edwards,N,N,N,N,N,1294.00,267.00,-10.70,7097.00,676.00,2190.00,0.50,22.00
Bo Ellis,N,N,N,N,N,10.00,13.00,-4.00,113.00,10.00,62.00,-0.10,1.00
Bo Kimble,N,N,N,N,N,17.00,6.00,-4.90,112.00,10.00,32.00,-0.20,0.00
Bo Lamar,N,N,N,N,N,177.00,3.00,-4.50,502.00,59.00,92.00,-0.70,1.00
Bo Outlaw,N,N,N,N,N,1555.00,1273.00,38.80,5313.00,919.00,4748.00,2.00,54.00
Bob Bigelow,N,N,N,N,N,8.00,1.00,-4.80,85.00,3.00,27.00,-0.10,0.00
Bob Carrington,N,N,N,N,N,234.00,46.00,-8.30,1272.00,130.00,348.00,-0.20,3.00
Bob Christian,N,N,N,N,N,98.00,32.00,-2.30,386.00,19.00,339.00,-0.10,2.00
Bob Dandridge,N,N,Y,N,N,1808.00,301.00,11.50,10010.00,656.00,3228.00,2.30,48.00
Bob Elliott,N,N,N,N,N,182.00,30.00,-4.90,857.00,63.00,446.00,-0.10,2.00
Bob Gross,N,N,N,N,N,1481.00,361.00,14.80,4567.00,615.00,2253.00,1.80,31.00
Bob Hansen,N,N,N,N,N,866.00,42.00,-22.50,3500.00,333.00,1126.00,0.10,14.00
Bob Kauffman,N,N,Y,N,N,142.00,18.00,-1.40,449.00,37.00,326.00,0.20,2.00
Bob Lanier,Y,N,Y,N,N,2537.00,1189.00,54.50,15194.00,851.00,7248.00,3.40,100.00
Bob Love,N,N,Y,N,N,450.00,60.00,-24.00,5270.00,246.00,1710.00,-0.40,18.00
Bob Martin,N,N,N,N,N,17.00,33.00,-4.50,111.00,8.00,117.00,-0.30,0.00
Bob McAdoo,Y,N,Y,N,Y,2175.00,1307.00,8.10,20601.00,893.00,8740.00,1.90,100.00
Bob McCann,N,N,N,N,N,92.00,73.00,-6.70,683.00,72.00,425.00,-0.40,2.00
Bob Nash,N,N,N,N,N,131.00,43.00,-11.00,993.00,59.00,449.00,-0.20,3.00
Bob Rule,N,N,Y,N,N,47.00,10.00,-3.20,186.00,12.00,103.00,-0.20,0.00
Bob Sura,N,N,N,N,N,2555.00,142.00,4.20,6036.00,657.00,2464.00,1.00,32.00
Bob Thornton,N,N,N,N,N,109.00,35.00,-29.60,968.00,82.00,782.00,-0.40,2.00
Bob Weiss,N,N,N,N,N,843.00,52.00,-8.10,1292.00,287.00,342.00,0.10,8.00
Bob Wilkerson,N,N,N,N,N,1835.00,141.00,-13.30,5424.00,671.00,2236.00,0.10,8.00
Boban Marjanovic,N,N,N,N,N,30.00,35.00,3.70,488.00,18.00,324.00,0.50,5.00
Bobby Brown,N,N,N,N,N,368.00,8.00,-32.90,1082.00,66.00,160.00,-0.70,-2.00
Bobby Hurley,N,N,N,N,N,477.00,7.00,-22.10,497.00,68.00,147.00,-1.00,0.00
Bobby Jackson,N,N,N,N,N,1923.00,66.00,-2.30,7331.00,662.00,2282.00,0.60,32.00
Bobby Jones,N,N,Y,N,N,1943.00,987.00,29.40,9283.00,1081.00,4443.00,2.40,75.00
Bobby Phills,N,N,N,N,N,1246.00,139.00,-10.30,5153.00,592.00,1469.00,1.00,27.00
Bobby Portis,N,N,N,N,N,87.00,33.00,-6.40,873.00,41.00,633.00,-0.40,4.00
Bobby Simmons,N,N,N,N,N,708.00,83.00,-10.80,4189.00,396.00,1791.00,0.60,20.00
Bobby Wilson,N,N,N,N,N,88.00,3.00,-4.80,713.00,47.00,146.00,-0.30,2.00
Bojan Bogdanovic,N,N,N,N,N,389.00,28.00,-13.60,3813.00,131.00,1022.00,-0.30,9.00
Boniface N'Dong,N,N,N,N,N,7.00,5.00,-4.30,50.00,2.00,37.00,-0.10,0.00
Bonzi Wells,N,N,N,N,N,1482.00,242.00,-8.50,8664.00,934.00,3319.00,0.70,33.00
Boris Diaw,N,N,N,N,N,4222.00,588.00,5.50,10576.00,743.00,5346.00,1.20,57.00
Bostjan Nachbar,N,N,N,N,N,348.00,100.00,-23.30,2697.00,163.00,988.00,-0.10,10.00
Brad Branson,N,N,N,N,N,52.00,30.00,-8.20,391.00,32.00,206.00,-0.20,1.00
Brad Daugherty,N,N,Y,N,N,2028.00,397.00,19.10,10389.00,422.00,5227.00,2.90,65.00
Brad Davis,N,N,N,N,N,4467.00,128.00,-27.60,7369.00,708.00,1630.00,0.40,51.00
Brad Holland,N,N,N,N,N,63.00,3.00,-14.70,293.00,47.00,59.00,-0.20,0.00
Brad Lohaus,N,N,N,N,N,920.00,614.00,-17.80,4852.00,381.00,2397.00,0.20,19.00
Brad Miller,N,N,Y,N,N,2787.00,632.00,31.70,11129.00,740.00,7053.00,1.80,86.00
Brad Sellers,N,N,N,N,N,323.00,188.00,-28.80,2087.00,113.00,843.00,-0.20,7.00
Bradley Beal,N,N,Y,N,N,1003.00,97.00,0.90,5728.00,334.00,1152.00,1.20,22.00
Brandan Wright,N,N,N,N,N,215.00,476.00,14.40,3287.00,231.00,1711.00,0.70,30.00
